date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
2022-11-25,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,SA,SOUTH AFRICA,FT,13,27
2022-11-25,"PRINCIPALITY STADIUM, CARDIFF",AUTUMN NATIONS SERIES,WALES,WALES,AUS,AUSTRALIA,FT,34,39
2022-11-19,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,AUS,AUSTRALIA,FT,13,10
2022-11-19,"STADE TOULOUSE, TOULOUSE",AUTUMN NATIONS SERIES,FRA,FRANCE,JPN,JAPAN,FT,35,17
2022-11-18,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,NZL,NEW ZEALAND,FT,25,25
2022-11-18,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,ARG,ARGENTINA,FT,52,29
2022-11-18,"PRINCIPALITY STADIUM, CARDIFF",AUTUMN NATIONS SERIES,WALES,WALES,GEORG,GEORGIA,FT,12,13
2022-11-18,"MARASSI (LUIGI FERRARIS), GENOVA",AUTUMN NATIONS SERIES,ITALY,ITALY,SA,SOUTH AFRICA,FT,21,63
2022-11-18,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,USA,UNITED STATES OF AMERICA,PORT,PORTUGAL,FT,16,16
2022-11-18,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,ROM,ROMANIA,SAMOA,SAMOA,FT,0,22
2022-11-18,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,TONGA,TONGA,URUG,URUGUAY,FT,43,19
2022-11-18,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",INTERNATIONAL TEST MATCH,CAN,CANADA,NAMIB,NAMIBIA,FT,37,43
2022-11-17,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,KENYA,KENYA,HK,HONG KONG,FT,18,22
2022-11-12,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,NZL,NEW ZEALAND,FT,23,31
2022-11-12,"ORANGE VELODROME, MARSEILLE",AUTUMN NATIONS SERIES,FRA,FRANCE,SA,SOUTH AFRICA,FT,30,26
2022-11-12,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,ROM,ROMANIA,URUG,URUGUAY,FT,16,21
2022-11-11,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,JPN,JAPAN,FT,52,13
2022-11-11,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,FIJI,FIJI,FT,35,17
2022-11-11,"PRINCIPALITY STADIUM, CARDIFF",AUTUMN NATIONS SERIES,WALES,WALES,ARG,ARGENTINA,FT,20,13
2022-11-11,"STADIO ARTEMIO FRANCHI, FIRENZE",AUTUMN NATIONS SERIES,ITALY,ITALY,AUS,AUSTRALIA,FT,28,27
2022-11-11,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,USA,UNITED STATES OF AMERICA,HK,HONG KONG,FT,49,7
2022-11-11,"DINAMO ARENA, TBILISI",INTERNATIONAL TEST MATCH,GEORG,GEORGIA,SAMOA,SAMOA,FT,19,20
2022-11-11,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,TONGA,TONGA,CHI,CHILE,FT,39,10
2022-11-11,"UNIVERSITARIA COMPLUTENSE, MADRID",INTERNATIONAL TEST MATCH,SPAIN,SPAIN,NAMIB,NAMIBIA,FT,34,15
2022-11-11,"SPORTPARK DE EENDRACHT (NRCA STADIUM), AMSTERDAM",INTERNATIONAL TEST MATCH,NETH,NETHERLANDS,CAN,CANADA,FT,25,37
2022-11-11,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,PORT,PORTUGAL,KENYA,KENYA,FT,85,0
2022-11-05,"TWICKENHAM STADIUM, TWICKENHAM",INTERNATIONAL TEST MATCH,ENG,ENGLAND,ARG,ARGENTINA,FT,29,30
2022-11-05,"STADE DE FRANCE, SAINT-DENIS",AUTUMN NATIONS SERIES,FRA,FRANCE,AUS,AUSTRALIA,FT,30,29
2022-11-05,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,USA,UNITED STATES OF AMERICA,KENYA,KENYA,FT,68,14
2022-11-05,"DUBAI EXILES, DUBAI",RUGBY WORLD CUP QUALIFIER,PORT,PORTUGAL,HK,HONG KONG,FT,42,14
2022-11-05,"DINAMO ARENA, TBILISI",INTERNATIONAL TEST MATCH,GEORG,GEORGIA,URUG,URUGUAY,FT,34,18
2022-11-04,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,FIJI,FIJI,FT,28,12
2022-11-04,"AVIVA STADIUM, DUBLIN",AUTUMN NATIONS SERIES,IRE,IRELAND,SA,SOUTH AFRICA,FT,19,16
2022-11-04,"PRINCIPALITY STADIUM, CARDIFF",AUTUMN NATIONS SERIES,WALES,WALES,NZL,NEW ZEALAND,FT,23,55
2022-11-04,"ARCUL DE TRIUMF, BUCHAREST",INTERNATIONAL TEST MATCH,ROM,ROMANIA,CHI,CHILE,FT,30,23
2022-11-04,"STADIO PLEBISCITO, PADOVA",AUTUMN NATIONS SERIES,ITALY,ITALY,SAMOA,SAMOA,FT,49,17
2022-11-04,"ESTADIO CIUDAD DE MALAGA, MALAGA",INTERNATIONAL TEST MATCH,SPAIN,SPAIN,TONGA,TONGA,FT,6,40
2022-11-04,"GAMLA STADION, MALMO",FIRA CHAMPIONSHIP D1,SWED,SWEDEN,SWITZ,SWITZERLAND,FT,12,69
2022-10-28,"BT MURRAYFIELD, EDINBURGH",AUTUMN NATIONS SERIES,SCOT,SCOTLAND,AUS,AUSTRALIA,FT,15,16
2022-10-28,NATIONAL KASUMIGAOKA STADIUM,INTERNATIONAL TEST MATCH,JPN,JAPAN,NZL,NEW ZEALAND,FT,31,38
2022-10-28,OLYMPIASTADION,FIRA CHAMPIONSHIP D1,SWED,SWEDEN,CRO,CROATIA,FT,37,17
2022-10-14,"STADE DE MYLLYPURON NURMIKENTTA, HELSINKI",FIRA CHAMPIONSHIP D3,FIN,FINLAND,DEN,DENMARK,FT,31,6
2022-09-30,"RK SPEED, COPENHAGEN",FIRA CHAMPIONSHIP D3,DEN,DENMARK,AND,ANDORRA,FT,25,10
2022-09-24,"HOLLYWOODBETS KINGS PARK, DURBAN",RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,ARG,ARGENTINA,FT,38,21
2022-09-24,"EDEN PARK, AUCKLAND",RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,40,14
2022-09-23,"HOLLYWOODBETS KINGS PARK, DURBAN",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,ARG,ARGENTINA,FT,38,21
2022-09-23,"EDEN PARK, AUCKLAND",THE RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,40,14
2022-09-17,"ESTADIO LIBERTADORES DE AMERICA, BUENOS AIRES",RUGBY CHAMPIONSHIP,ARG,ARGENTINA,SA,SOUTH AFRICA,FT,20,36
2022-09-16,"JOSE AMALFITANI (VELEZ SARSFIELD), BUENOS AIRES",THE RUGBY CHAMPIONSHIP,ARG,ARGENTINA,SA,SOUTH AFRICA,FT,20,36
2022-09-15,"MARVEL STADIUM, MELBOURNE",RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,NZL,NEW ZEALAND,FT,37,39
2022-09-14,"MARVEL STADIUM, MANCHESTER",THE RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,NZL,NEW ZEALAND,FT,37,39
2022-09-03,"ALLIANZ STADIUM, SYDNEY",RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,SA,SOUTH AFRICA,FT,8,24
2022-09-03,"FMG STADIUM WAIKATO, HAMILTON",RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,ARG,ARGENTINA,FT,53,3
2022-09-02,"ALLIANZ STADIUM, SYDNEY",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,24,8
2022-09-02,"FMG (WAIKATO) STADIUM, HAMILTON(NZ)",THE RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,ARG,ARGENTINA,FT,53,3
2022-08-27,"ADELAIDE OVAL, ADELAIDE",RUGBY CHAMPIONSHIP,AUS,AUSTRALIA,SA,SOUTH AFRICA,FT,25,17
2022-08-27,"ORANGETHEORY STADIUM, CHRISTCHURCH",RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,ARG,ARGENTINA,FT,18,25
2022-08-26,"ADELAIDE OVAL, ADELAIDE",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,AUS,AUSTRALIA,FT,17,25
2022-08-26,ORANGETHEORY STADIUM,THE RUGBY CHAMPIONSHIP,NZL,NEW ZEALAND,ARG,ARGENTINA,FT,18,25
2022-08-19,"ESTADIO GERMAN BECKER, TEMUCO",INTERNATIONAL TEST MATCH,CHI,CHILE,BRA,BRAZIL,FT,28,9
2022-08-17,"OLD GRANGONIANS CLUB, SANTIAGO",INTERNATIONAL TEST MATCH,CHI,CHILE,BRA,BRAZIL,FT,36,27
2022-08-13,"EMIRATES AIRLINES PARK, JOHANNESBURG",RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,23,35
2022-08-13,"ESTADIO BICENTENARIO, SAN JUAN",RUGBY CHAMPIONSHIP,ARG,ARGENTINA,AUS,AUSTRALIA,FT,48,17
2022-08-12,"EMIRATES AIRLINES PARK, JOHANNESBURG",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,23,35
2022-08-12,"ESTADIO DEL BICENTENARIO, SAN JUAN",THE RUGBY CHAMPIONSHIP,ARG,ARGENTINA,AUS,AUSTRALIA,FT,48,17
2022-08-06,"MBOMBELA STADIUM, NELSPRUIT",RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,26,10
2022-08-06,"ESTADIO MALVINAS ARGENTINAS, MENDOZA",RUGBY CHAMPIONSHIP,ARG,ARGENTINA,AUS,AUSTRALIA,FT,26,41
2022-08-05,"MBOMBELA STADIUM, NELSPRUIT",THE RUGBY CHAMPIONSHIP,SA,SOUTH AFRICA,NZL,NEW ZEALAND,FT,26,10
